,Method,Slice,Violation_gap
414,Proposed_HSRS,Critical Slice,0.0
415,Proposed_HSRS,Performance Slice,0.0
416,Proposed_HSRS,Business Slice,55.604851320495996
417,ADSS,Critical Slice,0.0
418,ADSS,Performance Slice,77.24439985552
419,ADSS,Business Slice,82.888149942208
420,Optimal ILP,Critical Slice,0.0
421,Optimal ILP,Performance Slice,0.007564904865465726
422,Optimal ILP,Business Slice,14.986527791263995
423,BestCQI,Critical Slice,100.0
424,BestCQI,Performance Slice,72.53525504623359
425,BestCQI,Business Slice,73.81441102057599
426,NVS,Critical Slice,18.41645849386667
427,NVS,Performance Slice,65.837816752192
428,NVS,Business Slice,72.11952222318399
429,Proposed_HSRS,Critical Slice,0.0
430,Proposed_HSRS,Performance Slice,0.0
431,Proposed_HSRS,Business Slice,87.792568648864
432,ADSS,Critical Slice,0.0
433,ADSS,Performance Slice,93.0469
434,ADSS,Business Slice,68.48435933888001
435,Optimal ILP,Critical Slice,0.0
436,Optimal ILP,Performance Slice,0.0
437,Optimal ILP,Business Slice,23.293069489712
438,BestCQI,Critical Slice,100.0
439,BestCQI,Performance Slice,94.77163
440,BestCQI,Business Slice,93.4645375
441,NVS,Critical Slice,0.0
442,NVS,Performance Slice,58.7757924075328
443,NVS,Business Slice,75.81758937095199
444,Proposed_HSRS,Critical Slice,0.0
445,Proposed_HSRS,Performance Slice,0.0
446,Proposed_HSRS,Business Slice,97.79893735552
447,ADSS,Critical Slice,0.0
448,ADSS,Performance Slice,91.12943590499201
449,ADSS,Business Slice,69.728335933888
450,Optimal ILP,Critical Slice,0.0
451,Optimal ILP,Performance Slice,0.0
452,Optimal ILP,Business Slice,23.348096055824
453,BestCQI,Critical Slice,100.0
454,BestCQI,Performance Slice,100.0
455,BestCQI,Business Slice,83.987270359456
456,NVS,Critical Slice,0.0
457,NVS,Performance Slice,62.29523485552
458,NVS,Business Slice,73.44827260026399
459,Proposed_HSRS,Critical Slice,0.0
460,Proposed_HSRS,Performance Slice,0.0
461,Proposed_HSRS,Business Slice,98.019043619968
462,ADSS,Critical Slice,0.0
463,ADSS,Performance Slice,96.52345
464,ADSS,Business Slice,68.246381312608
465,Optimal ILP,Critical Slice,0.0
466,Optimal ILP,Performance Slice,0.0
467,Optimal ILP,Business Slice,24.752380452496002
468,BestCQI,Critical Slice,100.0
469,BestCQI,Performance Slice,100.0
470,BestCQI,Business Slice,100.0
471,NVS,Critical Slice,0.0
472,NVS,Performance Slice,60.207611833100785
473,NVS,Business Slice,82.61195888233598
474,Proposed_HSRS,Critical Slice,0.0
475,Proposed_HSRS,Performance Slice,0.0
476,Proposed_HSRS,Business Slice,70.570665343264
477,ADSS,Critical Slice,24.43645785173333
478,ADSS,Performance Slice,100.0
479,ADSS,Business Slice,85.63289362959999
480,Optimal ILP,Critical Slice,0.0
481,Optimal ILP,Performance Slice,0.0
482,Optimal ILP,Business Slice,4.298724739935997
483,BestCQI,Critical Slice,100.0
484,BestCQI,Performance Slice,88.43353753715199
485,BestCQI,Business Slice,100.0
486,NVS,Critical Slice,0.0
487,NVS,Performance Slice,62.201548637305606
488,NVS,Business Slice,71.45673430276
489,Proposed_HSRS,Critical Slice,0.0
490,Proposed_HSRS,Performance Slice,0.0
491,Proposed_HSRS,Business Slice,81.01583570272
492,ADSS,Critical Slice,0.0
493,ADSS,Performance Slice,71.199943619968
494,ADSS,Business Slice,68.68706403721599
495,Optimal ILP,Critical Slice,0.0
496,Optimal ILP,Performance Slice,0.01207063911217388
497,Optimal ILP,Business Slice,8.264772607487991
498,BestCQI,Critical Slice,100.0
499,BestCQI,Performance Slice,89.32484690630402
500,BestCQI,Business Slice,100.0
501,NVS,Critical Slice,0.0
502,NVS,Performance Slice,63.176224281088
503,NVS,Business Slice,67.61651517568001
504,Proposed_HSRS,Critical Slice,0.0
505,Proposed_HSRS,Performance Slice,0.0
506,Proposed_HSRS,Business Slice,77.60277787216
507,ADSS,Critical Slice,0.0
